text,type,image,index
"\n- <b>Définition</b>\n\n- <b>Traitement</b>\n\n- <b>Recyclage</b>\n\n- <b>Risques</b>\n\n- <b>Pollutions</b>\n\n- <b>Catastrophe</b>\n\n",Catégories,"empty",nil
"- <b>Tensions</b>\n\n- <b>Conflits</b>\n\n- <b>En France</b>\n\n- <b>Géographie</b>\n\n- <b>Pour info</b>\n\n- <b>En image</b>",Catégories,"empty",nil
"Un <b>minerai</b> est une roche qu’on extrait pour obtenir, après plusieurs étapes de traitement, des métaux ou d’autres minéraux utiles.",Définition,"empty",1
"On appelle <b>stériles miniers</b> les roches qu’il faut extraire pour accéder au minerai.",Définition,"empty",2
"On appelle <b>résidus miniers</b> les déchets (solides ou liquides) produits lors du traitement du minerai.",Définition,"empty",3
" ",En image,"Antamina_Mine_Tailings_Pond",4
"Pour stocker les résidus miniers, on crée des lacs artificiels en construisant des barrages ou des digues. \n\nLes <b>ruptures de digues</b> sont une des causes de catastrophes liées aux mines.",Risques,"empty",5
"Rupture du barrage de Brumadinho, Brésil, 2019, TV NBR, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons",En image,"Resumo_da_agenda_do_Presidente",6
"Une fois le minerai extrait, il est concassé, broyé et trié pour isoler les minéraux recherchés.\n\nC'est une étape qui consomme beaucoup d'énergie et d'eau, et qui génère des résidus.",Traitement,"empty",7
"Une fois réduit en poudre, le minerai subit différents traitements chimiques et physiques pour éliminer les impuretés jusqu'à obtenir le métal recherché.", Traitement,"empty",8
"Les déchets miniers (stériles et résidus) contiennent souvent des métaux lourds naturellement présents dans la mine et qui sont dangereux pour la santé et l'environnement : plomb, mercure, arsenic...",Risques,"empty",9
"Les résidus miniers contiennent des produits chimiques dangereux utilisés pendant le traitement du minerai.\n\nOn utilise par exemple du cyanure pour le traitement de l'or.",Risques,"empty",10
"L'extraction et les premières étapes de traitement du minerai (concassage et broyage) génèrent des poussières, sources de pollutions majeures des eaux et des sols.",Pollutions,"empty",11
"Les déchets miniers (stériles et résidus) contiennent souvent du soufre, qui réagit chimiquement à l’air et à l’eau, puis avec d'autres polluants (plomb, arsenic...), causant de graves pollutions des eaux.",Pollutions,"empty",12
"Dépolluer des anciens sites miniers est extrêmement long, difficile et coûteux, voire impossible.",Pollutions,"empty",13
